,0
0,5.50857373043294e-07
1,3.36037800889717e-06
2,3.452698641901473e-05
3,0.00030017120917437455
4,0.0007331406086861086
5,4.821397662102744e-06
6,2.6733860601001896e-05
7,-0.42720403460306716
8,0.0017023099737896097
9,0.020832939295179858
10,3.177386328151145e-05
11,-0.42725232709888106
12,2.1983037995987265
13,-0.40299125209192593
14,0.2046548930327759
15,0.0002708882671214934
16,0.002081825161856434
17,-0.4091219898911998
18,0.17513493628988483
19,1.199599277624084
20,0.0014484683542238558
21,0.011717953002239326
22,0.11648948381459527
23,2.056059603054318
24,0.9849879580483736
