,0,1,2,3
71,3.972240565121792e-07,5.467129161136623e-07,5.335401659539036e-07,8.092396861841136e-08
72,1.7271198584209228e-06,4.854342751507262e-07,1.727119858420923e-07,3.4510458336681126e-07
73,9.547919599579059e-07,8.831167955382206e-07,1.1319364346455733e-06,8.831167955382206e-07
74,4.682847581769716e-07,3.125789382995973e-06,5.1761809910409505e-06,7.4119296771604815e-06
75,8.831167955382206e-06,1.0509066460555352e-05,1.9258863773181317e-06,1.0509066460555352e-05
76,8.403811078639374e-05,0.00010509066460555352,6.902639318166885e-06,0.00010509066460555352
77,9.020545055394389e-05,0.0010509066460555351,8.747596219807626e-05,0.0010509066460555351
78,0.0006876728343862886,0.01050906646055535,0.00837347147124162,0.009438017573936008
79,0.003074172772790207,0.0026660544760125997,0.0031322728345698544,0.1050906646055535
80,5.558647186259431e-07,1.575495963756786e-07,7.142452941432604e-07,6.304560479499149e-07
81,5.558647186259431e-07,6.491193296681192e-07,7.46027088134905e-08,3.088048606296032e-07
82,7.142452941432605e-08,2.6252867747644665e-06,3.1072652741818507e-07,6.708989365606834e-07
83,4.397131120347276e-06,7.678108478266583e-06,3.0938157140467414e-07,7.453164659716639e-06
84,8.831167955382206e-06,1.880861330554318e-05,7.513808851107594e-07,2.4821581310328875e-05
85,6.459406743617632e-06,0.00010509066460555352,6.525870143537735e-06,0.00010509066460555352
86,0.00010366509426969007,0.0010509066460555351,0.0004467021502590116,0.0009034840950802175
87,0.0007580916612626421,0.008302307125636255,0.00044667642643320387,0.01050906646055535
88,0.00741192967716048,0.06886738210910702,0.008787476563050445,0.1050906646055535
89,0.034783920510768195,0.06886738210910702,0.16771095562585647,1.050906646055535
90,2.159728914089495e-06,7.142452941432604e-07,5.558647186259431e-06,4.3021824425124055e-06
91,7.46027088134905e-07,8.831167955382206e-07,1.727119858420923e-07,7.142452941432604e-07
92,7.142452941432604e-07,1.0509066460555352e-06,6.4911932966811916e-06,6.4911932966811916e-06
93,7.648500223245716e-07,1.0509066460555352e-05,1.9037641500142412e-06,8.831167955382206e-06
94,8.831167955382206e-05,0.00010509066460555352,5.88265531461956e-05,8.831167955382206e-05
95,0.00019036229690421572,0.0010509066460555351,7.431819844744922e-05,0.0007431819844744921
96,0.008014826156378649,0.01050906646055535,0.008201080641627731,0.006241621276339012
97,0.062416212763390114,0.1050906646055535,0.0051444528658598394,0.0741192967716048
98,0.2092212948775849,1.050906646055535,0.0784702004360115,0.8201260421852382
99,0.312799124341151,0.4465385296502249,0.5090664605553488,0.06268582215699192
